fecha,mes,caudal_m3s,temperatura_c,precipitacion_mm
2023-03-13,3,7.85,26.3,0
2023-03-14,3,5.27,26.3,0
2023-03-15,3,6.95,25.9,0
2023-03-16,3,9.75,25.3,16.9
2023-03-17,3,8.46,25.2,0
2023-03-18,3,6.59,25.1,0
2023-03-19,3,11.16,26.2,2.6
2023-03-20,3,7.55,25.3,0.8
2023-03-21,3,6.67,26,0
2023-03-22,3,6.84,26.7,0
2023-03-23,3,11.79,24.9,0
2023-03-24,3,3.47,24.8,7.9
2023-03-25,3,10.33,25.6,13
2023-03-26,3,10.76,23.7,0
2023-03-27,3,8.85,24.2,0
2023-03-28,3,7.86,24.9,0
2023-03-29,3,7.04,25,0
2023-03-30,3,7.26,24.7,0
2023-03-31,3,6.11,25.7,0
2023-04-01,4,11.45,25.4,0
2023-04-02,4,12.23,24.7,19.2
2023-04-03,4,13.49,25.5,0
2023-04-04,4,15.56,24.4,0
2023-04-05,4,11.42,26.2,0
2023-04-06,4,10.29,26.4,0
2023-04-07,4,10.19,25.1,0
2023-04-08,4,9.23,24.3,0
2023-04-09,4,10.63,26.3,7.9
2023-04-10,4,9.51,25.6,0
2023-04-11,4,12.1,25.3,0
2023-04-12,4,10.19,24.4,3.2
2023-04-13,4,9.73,24.8,0
2023-04-14,4,7.82,25.7,0
2023-04-15,4,8.99,25.9,0
2023-04-16,4,8.26,25.6,0
2023-04-17,4,8.55,25.7,2.1
2023-04-18,4,7.11,25.8,0
2023-04-19,4,9.98,25.7,0.2
2023-04-20,4,12.86,25.7,0
2023-04-21,4,12.89,25.4,0
2023-04-22,4,9.28,25.5,6.6
2023-04-23,4,14.35,25.8,13.7
2023-04-24,4,7.8,26.4,2.3
2023-04-25,4,10.61,24,6.2
2023-04-26,4,6.8,25,0
2023-04-27,4,8.86,26.2,8.5
2023-04-28,4,8.53,26.2,0
2023-04-29,4,9.6,26.7,10.5
2023-04-30,4,8.33,25.5,0
2023-05-01,5,9.1,25.6,1.6
2023-05-02,5,12.76,25.8,0
2023-05-03,5,11.78,24.6,1.9
2023-05-04,5,8.14,26.4,3.8
2023-05-05,5,12.05,26.4,11.4
2023-05-06,5,12.57,24.3,4.1
2023-05-07,5,16.08,24.7,0
2023-05-08,5,12.03,25.8,4.7
2023-05-09,5,11.66,24.4,4.1
2023-05-10,5,15.4,25.3,0
2023-05-11,5,15.45,24.7,12.1
2023-05-12,5,6.96,25.1,0
2023-05-13,5,11.72,25.1,1.5
2023-05-14,5,16.28,25.4,4.5
2023-05-15,5,11.19,25.1,10.5
2023-05-16,5,13.87,25.2,0
2023-05-17,5,10.74,24.7,10.5
2023-05-18,5,11.64,26.1,0
2023-05-19,5,13.06,25.8,2.7
2023-05-20,5,13.96,26.2,0
2023-05-21,5,9.28,24.8,2.5
2023-05-22,5,17.18,24.5,5.6
2023-05-23,5,14.1,26.1,10.1
2023-05-24,5,10.85,26,0.8
2023-05-25,5,13.75,25.4,14.2
2023-05-26,5,14.8,25.3,1.6
2023-05-27,5,12.22,25.3,0
2023-05-28,5,11.8,25.4,4.4
2023-05-29,5,8.85,25.8,3.8
2023-05-30,5,13.32,25.4,14.5
2023-05-31,5,10.36,24.2,0
2023-06-01,6,13.29,25.5,0
2023-06-02,6,13.26,23.9,17
2023-06-03,6,9.89,24.7,17.8
2023-06-04,6,15.07,24.7,9.6
2023-06-05,6,13.76,24.3,4
2023-06-06,6,16.54,24.1,11
2023-06-07,6,12.63,23.8,9.9
2023-06-08,6,11.01,25.3,4.9
2023-06-09,6,12.24,24.6,4.6
2023-06-10,6,11.01,24.6,0
2023-06-11,6,15.82,24.3,4.3
2023-06-12,6,14.67,24.6,4.2
2023-06-13,6,15.24,24.2,1.7
2023-06-14,6,15.58,24.6,15.8
2023-06-15,6,12.54,24.8,9.6
2023-06-16,6,10.46,24.3,0
2023-06-17,6,13.58,25.1,8.4
2023-06-18,6,13.34,25.4,0
2023-06-19,6,10.75,25.4,0
2023-06-20,6,15.08,25.2,8.6
2023-06-21,6,16.16,24.2,1.3
2023-06-22,6,14.93,25.5,8
2023-06-23,6,17.83,26.3,11.4
2023-06-24,6,13.47,23.4,6.1
2023-06-25,6,13.87,23.5,0
2023-06-26,6,12.89,24.6,5.5
2023-06-27,6,13.67,24.8,7.4
2023-06-28,6,12.69,24.6,16.1
2023-06-29,6,18.2,25,0
2023-06-30,6,18.09,24.3,3.6
2023-07-01,7,13.99,24.7,5.5
2023-07-02,7,12.82,24.2,8.4
2023-07-03,7,12.57,23.1,2.3
2023-07-04,7,15.16,24.7,0.3
2023-07-05,7,14.24,23.7,9.1
2023-07-06,7,13.94,23.7,11.2
2023-07-07,7,16.7,23.4,10.8
2023-07-08,7,15.77,23.9,0
2023-07-09,7,12.57,22.8,0
2023-07-10,7,13.68,23.5,8.6
2023-07-11,7,14.3,24.6,3.8
2023-07-12,7,11.78,23.5,8
2023-07-13,7,15.14,23.5,0
2023-07-14,7,13.8,24.8,0
2023-07-15,7,13.09,23,14.4
2023-07-16,7,15.96,23.8,4.9
2023-07-17,7,13.99,24.6,0
2023-07-18,7,14.71,25.5,11.2
2023-07-19,7,11.07,25.5,7.4
2023-07-20,7,13.89,24.1,5
2023-07-21,7,13.56,23,3.5
2023-07-22,7,15.72,24.1,8.2
2023-07-23,7,14.07,24.3,4.5
2023-07-24,7,14.35,25,4.1
2023-07-25,7,17.87,23.1,4
2023-07-26,7,15.64,23.7,8.1
2023-07-27,7,16.42,24.6,2.5
2023-07-28,7,14.09,23.9,18.7
2023-07-29,7,15.67,26.1,4
2023-07-30,7,14.69,23.6,8.7
2023-07-31,7,13.12,24.7,0
2023-08-01,8,12.38,22.8,0.3
2023-08-02,8,15.66,23,0.5
2023-08-03,8,14.67,21.8,3.4
2023-08-04,8,12.14,23.6,0
2023-08-05,8,17.13,25.6,5.3
2023-08-06,8,10.06,23.7,12.4
2023-08-07,8,16.4,21.6,0
2023-08-08,8,11.97,23.3,0
2023-08-09,8,13.91,23.3,4.4
2023-08-10,8,10.68,23.9,13.4
2023-08-11,8,13.09,22.4,3
2023-08-12,8,14.34,24.8,2.6
2023-08-13,8,15.97,22.3,4.8
2023-08-14,8,15.98,22.5,2.2
2023-08-15,8,15.8,24.9,1.4
2023-08-16,8,17.07,21.3,8.5
2023-08-17,8,12.78,22.5,15.5
2023-08-18,8,15.68,24,10.7
2023-08-19,8,8.54,22.7,4.7
2023-08-20,8,12.29,24.2,2.9
2023-08-21,8,13.53,23.8,6.8
2023-08-22,8,11.48,23,4.8
2023-08-23,8,18.75,23,13.3
2023-08-24,8,13.63,23.6,2.9
2023-08-25,8,16.65,24.4,0
2023-08-26,8,14.15,23.7,1.4
2023-08-27,8,13.93,22.9,3
2023-08-28,8,18.32,24.5,2.9
2023-08-29,8,15.48,23.3,0
2023-08-30,8,14.75,22.5,0
2023-08-31,8,12.16,24.1,0
2023-09-01,9,12.82,22.6,5.4
2023-09-02,9,14.76,22.1,0
2023-09-03,9,11.58,22.3,0
2023-09-04,9,12.24,21.8,9.1
2023-09-05,9,15.02,23.6,7.6
2023-09-06,9,12.64,23.9,7.7
2023-09-07,9,12.71,22.7,9.8
2023-09-08,9,16.47,21.2,0
2023-09-09,9,13.69,23.2,0
2023-09-10,9,12.86,22.3,12.7
2023-09-11,9,12.74,22.4,10.9
2023-09-12,9,9.77,22.3,0
2023-09-13,9,15.61,23.6,0
2023-09-14,9,12.87,22.3,7
2023-09-15,9,14.24,23.2,10.5
2023-09-16,9,10.42,22.9,2.4
2023-09-17,9,13.29,22.4,5.1
2023-09-18,9,9.07,21.7,7.4
2023-09-19,9,10.09,23.7,5.8
2023-09-20,9,10.79,22.1,0
2023-09-21,9,12.57,22.4,6.5
2023-09-22,9,8.99,23.4,9.3
2023-09-23,9,13.56,22.5,0
2023-09-24,9,11.98,20.5,0
2023-09-25,9,12.25,20.7,0
2023-09-26,9,15.24,22.9,10.6
2023-09-27,9,13.57,22.4,12.9
2023-09-28,9,13.95,22.9,1.4
2023-09-29,9,11.04,22,0
2023-09-30,9,15.53,22.5,8.5
2023-10-01,10,11.57,22.3,4.6
2023-10-02,10,10.73,23,9.3
2023-10-03,10,11.39,22.7,0
2023-10-04,10,12.5,22,16.9
2023-10-05,10,8.21,24.3,16.3
2023-10-06,10,11.54,23.5,0
2023-10-07,10,8.99,22.6,5.9
2023-10-08,10,11.53,23,0
2023-10-09,10,6.72,21.2,0
2023-10-10,10,10.94,22.8,0
2023-10-11,10,12.05,24.4,0
2023-10-12,10,12.38,24.2,0
2023-10-13,10,11.53,23.5,0
2023-10-14,10,6.63,22.4,0
2023-10-15,10,11.19,23.3,0
2023-10-16,10,7.38,23.4,7.4
2023-10-17,10,6.58,21.9,0
2023-10-18,10,10.41,21.6,3.5
2023-10-19,10,9.46,22.1,0
2023-10-20,10,10.93,23.3,2.8
2023-10-21,10,9,22,0
2023-10-22,10,10,21.8,0
2023-10-23,10,8.71,22.8,0
2023-10-24,10,10.19,23.2,4.2
2023-10-25,10,9.62,21.8,0
2023-10-26,10,9.78,23.2,13
2023-10-27,10,7.32,22.3,11.4
2023-10-28,10,11.3,23.1,0
2023-10-29,10,12.14,21.4,0
2023-10-30,10,9.14,22.8,1.2
2023-10-31,10,12.34,22.2,7.5
2023-11-01,11,1,24,0
2023-11-02,11,9.38,22.4,0
2023-11-03,11,7.26,22.6,0
2023-11-04,11,5.31,22.3,0
2023-11-05,11,6.78,22,5.1
2023-11-06,11,8,22.4,6.4
2023-11-07,11,8.4,22.2,7.1
2023-11-08,11,5.74,21.1,0
2023-11-09,11,7.18,22.3,0
2023-11-10,11,5.8,22.8,0
2023-11-11,11,6.05,24.4,12.5
2023-11-12,11,4.68,22.6,0
2023-11-13,11,8.53,22.2,0
2023-11-14,11,8.66,23.2,0
2023-11-15,11,7.23,21.9,0
2023-11-16,11,9.77,25.1,5.4
2023-11-17,11,6.94,22.9,0
2023-11-18,11,3.7,23.2,0
2023-11-19,11,3.94,22.3,0
2023-11-20,11,4.86,22.8,3.9
2023-11-21,11,11.84,21.6,0
2023-11-22,11,5.27,21.6,13.4
2023-11-23,11,9.1,20.5,0
2023-11-24,11,8.8,22.2,1.8
2023-11-25,11,2.35,22.1,0
2023-11-26,11,7.81,21.7,0
2023-11-27,11,5.2,22.3,0
2023-11-28,11,7.8,22.8,6.3
2023-11-29,11,8.35,23,0
2023-11-30,11,9.01,23.6,0
2023-12-01,12,7.27,24.1,5.4
2023-12-02,12,7.62,24.1,0
2023-12-03,12,1.61,22.6,0
2023-12-04,12,7.92,22.8,0
2023-12-05,12,6.38,22.9,0
2023-12-06,12,8.34,22.7,4.8
2023-12-07,12,6.66,23.4,0
2023-12-08,12,7.98,23.3,0
2023-12-09,12,6.76,22.9,0
2023-12-10,12,5.7,23.5,0
2023-12-11,12,4.58,23.2,0
2023-12-12,12,4.87,23.4,16.8
2023-12-13,12,5.53,23.2,0
2023-12-14,12,6.56,22.4,0
2023-12-15,12,3.69,23.3,0
2023-12-16,12,4.61,22.5,0
2023-12-17,12,7.53,22.5,0
2023-12-18,12,4.36,24.7,0
2023-12-19,12,3.67,22.9,0
2023-12-20,12,5.22,22.6,0
2023-12-21,12,8.1,23.6,0
2023-12-22,12,5.36,21.9,0
2023-12-23,12,8.45,23,0
2023-12-24,12,7.58,23.9,3.1
2023-12-25,12,5.88,22.9,0
2023-12-26,12,3.59,23,3.7
2023-12-27,12,4.03,24,0
2023-12-28,12,7.94,24.6,0
2023-12-29,12,4.21,23.5,0
2023-12-30,12,6.87,23,0
2023-12-31,12,5.01,24.7,2.3
